Date,Close,Volume,SMA_10,EMA_10,nav
05-03-2023,17445.60993,264114.7059,242.3329529,242.7996914,243.8035571
06-03-2023,17711.44922,362800,242.19831,243.245745,245.9498
07-03-2023,17417.38086,263390.9091,241.7817767,242.5114077,244.5978
08-03-2023,17754.40039,267000,241.59267,242.6448439,246.7897
09-03-2023,17589.59961,262400,240.98754,241.7237647,245.3201
10-03-2023,17412.90039,235900,240.45311,240.9245791,243.6453
11-03-2023,17392.77575,264337.5,240.5683943,241.3425208,243.1263857
12-03-2023,17381.47881,264456.25,240.1522514,240.9461063,242.2568714
13-03-2023,17154.30078,254900,239.89371,240.3199745,240.7829
14-03-2023,17043.30078,290600,239.57225,240.2171021,239.7467
15-03-2023,16972.15039,248200,239.28117,240.3216359,239.6502
16-03-2023,16985.59961,349800,239.28531,240.4708439,239.8632
17-03-2023,17100.05078,408100,239.50575,240.6058759,240.9662
18-03-2023,17334.1814,271683.871,239.765975,240.5342528,240.11375
19-03-2023,17333.73456,272800,239.9274813,240.6276978,240.0128625
20-03-2023,16988.40039,241800,239.73648,240.5258039,239.269
21-03-2023,17107.5,246700,240.18326,240.8050937,239.8934
22-03-2023,17151.90039,278910.3448,240.66987,241.0076922,240.7384
23-03-2023,17076.90039,219200,241.18576,241.067535,239.9758
24-03-2023,16945.05078,228000,241.91203,241.3101427,238.0513
25-03-2023,17353.24049,281943.3333,241.9621463,241.7724889,239.0029625
26-03-2023,17363.39535,277296.6667,242.2800986,241.9505867,238.9649571
27-03-2023,16985.69922,218400,242.91609,242.03433,237.5683
28-03-2023,16951.69922,238800,243.98621,243.0267811,236.8359
29-03-2023,17080.69922,345900,245.10747,244.4025325,239.6916
30-03-2023,17371.55352,269806.8966,244.892294,244.2227938,239.88738
31-03-2023,17359.75,263900,245.94533,245.4494064,242.0676
01-04-2023,17385.41312,267156.6667,245.2434367,244.6609042,240.52895
02-04-2023,17398.79395,266054.8387,245.99839,245.5791163,241.7274833
03-04-2023,17398.05078,230200,246.50637,246.2009189,243.2735
04-04-2023,17418.67053,266129.0323,246.724165,246.511346,243.45935
05-04-2023,17557.05078,248300,246.99915,246.8514564,243.7368
06-04-2023,17599.15039,242700,247.44581,247.5436023,244.7595
07-04-2023,17418.85667,267136.6667,247.414288,247.4847785,244.98112
08-04-2023,17450.9002,267480,247.601735,247.7344424,245.4995833
09-04-2023,17484.65984,265333.3333,247.98794,248.2310777,246.33225
10-04-2023,17624.05078,254800,247.87654,248.1622917,245.8973
11-04-2023,17722.30078,304300,248.24357,248.6656232,247.2385
12-04-2023,17812.40039,232800,248.53897,248.9827617,248.0919
13-04-2023,17828,285800,248.8236,249.1807309,248.2695
14-04-2023,17598.57598,254953.3333,248.7424533,249.0090778,247.60265
15-04-2023,17639.78724,255073.3333,248.9507514,249.1559994,247.6134143
16-04-2023,17678.74206,254200,249.3783286,249.498796,247.9425571
17-04-2023,17706.84961,357400,249.22289,249.3832267,248.0485
18-04-2023,17660.15039,258900,249.74915,249.6798326,248.0702
19-04-2023,17618.75,281500,250.20054,250.0375287,247.678
20-04-2023,17624.44922,215100,250.86958,250.5618685,248.2013
21-04-2023,17624.05078,230200,251.3193,251.0864392,248.2034
22-04-2023,17844.47108,254406.4516,251.1441213,250.9654834,248.6285375
23-04-2023,17884.15014,254119.3548,251.7113063,251.4848047,248.98975
24-04-2023,17743.40039,255700,252.00992,251.7271146,249.0668
25-04-2023,17769.25,297400,252.59231,252.3182956,249.5676
26-04-2023,17813.59961,233000,253.18928,252.9295613,250.1925
27-04-2023,17915.05078,241400,253.76037,253.5377972,250.9382
28-04-2023,18065,290300,254.19122,254.1154854,252.2624
29-04-2023,17986.43451,253240.625,253.6284229,253.4218688,251.1318143
30-04-2023,17995.49408,252615.1515,254.1104171,253.9307698,251.8891857
01-05-2023,18018.64862,252239.3939,254.52165,254.3844551,252.3364571
02-05-2023,18147.65039,265200,254.65248,254.5272822,253.3111
03-05-2023,18089.84961,226200,255.00338,254.7975449,252.5841
04-05-2023,18255.80078,226600,255.38388,255.2894216,254.3684
05-05-2023,18069,239700,255.47094,255.494093,252.6985
06-05-2023,18091.8839,250729.4118,255.5022186,255.6033072,254.0713857
07-05-2023,18115.76919,262264.7059,255.62166,255.7666777,254.3003875
08-05-2023,18264.40039,228400,255.77967,256.1153359,255.1096
09-05-2023,18265.94922,245400,255.96157,256.3388328,254.8907
10-05-2023,18315.09961,220500,256.26361,256.6606401,255.5373
11-05-2023,18297,248900,256.45775,256.9102712,255.9034
12-05-2023,18314.80078,241700,256.67834,257.1340204,255.2467
13-05-2023,18194.38862,258697.1429,256.6890125,257.0396701,255.8464875
14-05-2023,18224.8529,258731.4286,257.001355,257.3048218,255.8626625
15-05-2023,18398.84961,216100,257.08271,257.5534249,256.875
16-05-2023,18286.5,219500,257.41358,257.704186,256.8201
17-05-2023,18181.75,229900,257.87487,257.9006495,256.3891
18-05-2023,18129.94922,272100,258.27841,258.2365494,255.239
19-05-2023,18203.40039,260900,258.87369,258.9026715,255.7858
20-05-2023,18336.42294,256974.2857,258.7223238,258.8468216,256.678425
21-05-2023,18364.61295,255945.7143,259.2790538,259.3286875,256.8327125
22-05-2023,18314.40039,262600,259.48391,259.5953096,256.9286
23-05-2023,18348,270400,260.10384,260.1879118,257.9111
24-05-2023,18285.40039,232600,260.66758,260.6938699,257.4787
25-05-2023,18321.15039,235900,261.53655,261.4083521,258.1093
26-05-2023,18499.34961,198700,262.21288,262.1414748,259.2904
27-05-2023,18445.94586,254461.1111,261.753965,261.7412462,258.9699125
28-05-2023,18465.64583,253136.1111,262.4138637,262.3570981,259.5028125
29-05-2023,18598.65039,265300,262.75709,262.775047,260.1837
30-05-2023,18633.84961,234400,263.3302,263.3509019,261.433
31-05-2023,18534.40039,696500,263.93967,263.7771023,260.4245
01-06-2023,18487.75,265600,264.7631,264.5221251,261.1918
02-06-2023,18534.09961,270900,265.43674,265.2621973,261.888
03-06-2023,18528.59858,251363.8889,265.0984088,264.9618919,262.245725
04-06-2023,18548.21387,255625,265.7617775,265.5654845,262.8318375
05-06-2023,18593.84961,256100,266.19926,266.0120189,263.1279
06-06-2023,18599,220800,266.81928,266.6529342,263.5485
07-06-2023,18726.40039,260100,267.54193,267.3428085,266.1684
08-06-2023,18634.55078,286500,268.06404,267.6037881,264.8726
09-06-2023,18563.40039,221800,268.52673,268.2107188,264.7325
10-06-2023,18637.44431,256462.8571,268.0309475,268.0765335,265.5689
11-06-2023,18669.21574,256602.8571,268.4441175,268.6337854,266.1689375
12-06-2023,18601.5,179500,268.79032,268.9836564,265.9148
13-06-2023,18716.15039,233200,269.0412,269.6656244,267.5277
14-06-2023,18755.90039,261400,269.26482,270.1407188,268.6588
15-06-2023,18688.09961,263000,269.50462,270.4700341,267.9282
16-06-2023,18826,272800,270.11461,271.0348861,269.5132
17-06-2023,18806.21295,256585.7143,270.1125163,270.6945974,268.8794125
18-06-2023,18835.82154,258228.5714,270.62113,271.0979718,269.3275
19-06-2023,18755.44922,219800,270.72618,271.3730385,269.3281
20-06-2023,18816.69922,211600,271.41015,271.8274693,270.775
21-06-2023,18856.84961,217500,272.04823,272.0613514,271.3895
22-06-2023,18771.25,252700,272.85923,272.2106517,269.4995
23-06-2023,18665.5,210600,273.72601,272.8131298,267.3684
24-06-2023,18971.09007,264634.2857,273.5351588,273.2583128,269.7006
25-06-2023,19005.3558,265357.1429,273.9364414,273.5276377,269.7538143
26-06-2023,18691.19922,171300,274.7789,274.0230698,268.4236
27-06-2023,18817.40039,222500,275.86836,275.2673964,269.7639
28-06-2023,18972.09961,398800,276.86421,276.4903956,271.0568
29-06-2023,19098.68687,254167.6471,276.691346,276.3984174,271.78026
30-06-2023,19189.05078,247900,277.61423,277.6978613,274.0281
01-07-2023,19146.12723,257740,277.4502443,277.2806397,273.1749857
02-07-2023,19179.82154,258422.8571,278.2443043,278.1930072,274.7572571
03-07-2023,19322.55078,226100,278.33103,278.5133638,275.6289
04-07-2023,19389,226900,279.03119,279.1543558,276.1678
05-07-2023,19398.5,224400,279.66379,279.8180349,277.1558
06-07-2023,19497.30078,268300,280.33732,280.4096426,279.4995
07-07-2023,19331.80078,237100,280.89998,280.6118965,278.1673
08-07-2023,19301.74872,265245.7143,280.5694238,280.4987166,277.94465
09-07-2023,19324.90301,266888.5714,281.2137475,281.066287,278.3106625
10-07-2023,19355.90039,268200,281.46536,281.1551402,277.8973
11-07-2023,19439.40039,251300,282.09166,281.8791047,279.3182
12-07-2023,19384.30078,327900,282.73506,282.4481946,279.7224
13-07-2023,19413.75,310400,283.48562,283.0539267,278.557
14-07-2023,19564.5,291200,284.32297,284.0532438,281.1961
15-07-2023,19411.79877,268500,283.9231325,283.5197339,280.7133
